id,question,answer,type
1,数据仓库中的数据是实时更新的。,×,judge
2,OLTP系统主要负责日常的事务处理，而OLAP系统负责复杂分析。,√,judge
3,维度建模完全遵循数据库的第三范式。,×,judge
4,事实表通常包含大量的外键和数值型度量。,√,judge
5,ETL过程只在数据仓库初始化时执行一次。,×,judge
6,数据挖掘可以发现数据之间潜在的、未知的、有价值的模式。,√,judge
7,关联规则的支持度越高，规则一定越有用。,×,judge
8,Apriori算法是一种产生频繁项集的迭代方法。,√,judge
9,决策树算法只能处理分类问题，不能处理回归问题。,×,judge
10,在K-Means聚类中，初始中心点的选择对最终结果没有影响。,×,judge
11,聚类分析是一种有监督的学习方法。,×,judge
12,贝叶斯分类需要类条件独立假设。,√,judge
13,K-近邻（KNN）是一种惰性学习算法。,√,judge
14,支持向量机（SVM）只能处理线性可分的数据。,×,judge
15,逻辑回归的输出值是连续的概率值。,√,judge
16,准确率是评估分类模型唯一可靠的指标。,×,judge
17,在类别不平衡的数据集中，精准率和召回率比准确率更重要。,√,judge
18,交叉验证可以用来评估模型的泛化能力。,√,judge
19,随机森林通过降低方差来提高模型性能。,√,judge
20,主成分分析（PCA）是一种有监督的降维方法。,×,judge
21,数据规范化可以消除数据中的噪声。,×,judge
22,处理缺失值时，直接删除有缺失值的记录总是最好的方法。,×,judge
23,离群点总是错误数据，应该被删除。,×,judge
24,文本挖掘中的词袋模型考虑了词语的顺序信息。,×,judge
25,TF-IDF值高的词，意味着它在某个文档中频繁出现，并且在所有文档中都频繁出现。,×,judge
26,Web挖掘只关注网页的文本内容。,×,judge
27,时间序列预测需要考虑数据的周期性。,√,judge
28,数据挖掘可以确保100%准确地预测未来。,×,judge
29,数据挖掘模型构建得越复杂，其在实际应用中的效果就一定越好。,×,judge
30,业务理解是CRISP-DM模型的第一步，也是至关重要的一步。,√,judge
31,数据仓库是数据集市的一个子集。,×,judge
32,雪花模式比星型模式查询性能更好。,×,judge
33,缓慢变化维类型2可以记录维度成员的历史变化。,√,judge
34,OLAP操作中的钻取可以沿着维的层次向下，查看更详细的数据。,√,judge
35,关联规则挖掘中，置信度衡量的是规则的精确度。,√,judge
36,FP-Growth算法不需要生成候选项集。,√,judge
37,信息增益在选择属性时，会对取值数目较多的属性有偏好。,√,judge
38,基尼指数越大，表示数据集的纯度越高。,×,judge
39,DBSCAN聚类算法对噪声数据不敏感。,√,judge
40,大数据中的“价值密度高”意味着大数据中蕴含的价值比例很高。,×,judge
